size: 10
function,m_Duration
cpu_step,0.0131,0.0131,0.013,0.0184,0.0188,0.0137,0.0305,0.0123,0.0131,0.0304,0.0127,0.0123,0.0194,0.0127,0.0121,0.0219,0.0122,0.0136,0.0124,0.0176,0.0185,0.0167,0.0168,0.0163,0.0122,0.0118,0.0175,0.0136,0.0127,0.0125,0.0218,0.0128,0.013,0.0126,0.0126,0.0184,0.0128,0.0135,0.0128,0.0194,0.0224,0.0127,0.013,0.013,0.0132,0.0193,0.0129,0.0136,0.0132,0.0128,0.0128,0.012,0.0172,0.0137,0.0129,0.0131,0.0126,0.0155,0.0126,0.0179,0.0128,0.0127,0.0417,0.0436,0.0173,0.0129,0.0172,0.0142,0.013,0.0119,0.0231,0.0132,0.016,0.0244,0.0228,0.0124,0.0473,0.0186,0.0219,0.0218,0.0227,0.0278,0.012,0.0222,0.0173,0.0131,0.0128,0.0232,0.0278,0.0126,0.0226,0.0122,0.0121,0.0125,0.0245,0.0218,0.0225,0.0121,0.0285,0.0216,0.0123,0.028,0.0123,0.0321,0.0126,0.0123,0.0295,0.0129,0.0128,0.023,0.0263,0.0165,0.0126,0.0253,0.0127,0.023,0.0183,0.0129,0.0182,0.0203,0.0135,0.0123,0.0228,0.0224,0.0226,0.017,0.0258,0.0119,0.0216,0.0232,0.022,0.0126,0.0229,0.0224,0.0129,0.0126,0.0123,0.0685,0.0222,0.012,0.0122,0.021,0.0132,0.0131,0.0158,0.0135,0.0128,0.0177,0.0123,0.0193,0.0128,0.0131,0.0176,0.0127,0.0126,0.0134,0.0138,0.0119,0.0122,0.0128,0.0119,0.0122,0.0121,0.0153,0.0222,0.0161,0.0222,0.022,0.012,0.012,0.0299,0.0121,0.0126,0.0132,0.018,0.0233,0.0294,0.0235,0.0231,0.0133,0.0357,0.0128,0.0263,0.0204,0.0124,0.0228,0.0224,0.0228,0.0222,0.0232,0.0125,0.0123,0.0228,0.0123,0.0232,0.0126,0.0564,0.0316,0.0125,0.0124,0.0225,0.02,0.0312,0.0132,0.0127,0.0186,0.018,0.0134,0.0132,0.0128,0.0131,0.0127,0.026,0.028,0.0232,0.013,0.0121,0.0124,0.0227,0.0141,0.0224,0.0167,0.0225,0.0222,0.0223,0.0121,0.0227,0.0122,0.0125,0.0297,0.0124,0.0222,0.0121,0.0358,0.0226,0.0128,0.022,0.0122,0.0224,0.0125,0.0221,0.0246,0.0126,0.0119,0.0122,0.0298,0.0184,0.0122,0.012,0.0217,0.0227,0.012,0.0229,0.0125,0.0226,0.0127,0.0231,0.0164,0.0134,0.0124,0.0225,0.0122,0.0142,0.0195,0.013,0.0135,0.0202,0.0128,0.0223,0.0224,0.0222,0.0126,0.0353,0.0217,0.0221,0.022,0.012,0.012,0.0121,0.0125,0.0127,0.0222,0.013,0.0123,0.0222,0.012,0.0144,0.0221,0.0249,0.0122,0.0118,0.0221,0.0127,0.013,0.0127,0.0204,0.0134,0.0234,0.0261,0.0223,0.0128,0.013,0.0221,0.0277,0.0123,0.0223,0.0118,0.012,0.0157,0.013,0.0123,0.0166,0.0227,0.0125,0.0129,0.0219,0.0221,0.0123,0.0128,0.0225,0.0126,0.0176,0.0185,0.0171,0.0168,0.0174,0.0223,0.0126,0.014,0.0139,0.0127,0.0127,0.0123,0.0119,0.0133,0.0121,0.0123,0.0124,0.0119,0.0127,0.012,0.0124,0.0224,0.0223,0.0223,0.0226,0.0218,0.0133,0.0288,0.0119,0.0122,0.0127,0.0128,0.0124,0.0234,0.0122,0.0213,0.0122,0.0124,0.0222,0.0298,0.0223,0.0222,0.0127,0.0128,0.017,0.0259,0.0283,0.032,0.0125,0.0126,0.0227,0.0124,0.0236,0.0124,0.0226,0.0162,0.0123,0.0248,0.0126,0.0126,0.0131,0.0131,0.0129,0.0373,0.0517,0.0464,0.027,0.0223,0.0221,0.0221,0.0224,0.0118,0.022,0.013,0.035,0.0121,0.0123,0.0219,0.0126,0.0124,0.0177,0.0171,0.0131,0.0224,0.0125,0.0121,0.0129,0.0149,0.0122,0.0136,0.0119,0.0142,0.0231,0.0235,0.0135,0.0334,0.0126,0.0226,0.0222,0.0358,0.0223,0.0368,0.0122,0.0123,0.0123,0.0124,0.0289,0.0262,0.0352,0.0244,0.0222,0.023,0.0231,0.0318,0.0234,0.0127,0.0264,0.0261,0.0235,0.0135,0.0187,0.0124,0.0131,0.0225,0.0126,0.0122,0.0124,0.0225,0.022,0.0223,0.0229,0.0323,0.0125,0.0356,0.012,0.0129,0.0226,0.0222,0.034,0.0121,0.0249,0.0261,0.0121,0.0119,0.0326,0.0225,0.0122,0.0172,0.0129,0.024,0.0128,0.0135,0.0133,0.0128,0.0128,0.0239,0.026,0.0238,0.022,0.022,0.0122,0.0221,0.0223,0.0222,0.0131,0.0122,0.0127,0.0282,0.0124,0.0127,0.0125,0.0226,0.0123,0.0222,0.0215,0.0123,0.0122,0.0126,0.0269,0.0128,0.0124,0.0179,0.0128,0.0139,0.0128,0.0139,0.0123,0.0223,0.0326,0.0224,0.0222,0.0165,0.0126,0.0127,0.0325,0.0124,0.0226,0.0284,0.0228,0.0225,0.0226,0.0121,0.0127,0.0129,0.0124,0.0226,0.0135,0.0126,0.0188,0.0131,0.0227,0.0131,0.0222,0.0218,0.0125,0.0128,0.0122,0.0251,0.0121,0.0225,0.0123,0.0122,0.0228,0.0124,0.0221,0.0124,0.061,0.0221,0.0355,0.0164,0.0221,0.0122,0.0267,0.0223,0.0222,0.024,0.0125,0.014,0.0166,0.0231,0.0136,0.0237,0.0258,0.0144,0.0222,0.0261,0.0244,0.027,0.0124,0.0149,0.0256,0.0119,0.0122,0.0126,0.0226,0.0252,0.0223,0.0224,0.0126,0.0126,0.0622,0.0221,0.0223,0.0123,0.0271,0.0227,0.0366,0.0136,0.0192,0.0282,0.0124,0.0227,0.0126,0.0129,0.0125,0.0223,0.0288,0.0136,0.0122,0.0127,0.0124,0.0122,0.0121,0.0222,0.012,0.0227,0.0122,0.0166,0.0119,0.0124,0.0127,0.022,0.0225,0.0136,0.0138,0.03,0.0218,0.0232,0.0134,0.0122,0.0228,0.0222,0.0128,0.0138,0.0261,0.0227,0.0224,0.0125,0.0125,0.0121,0.012,0.0128,0.0325,0.0121,0.0217,0.0264,0.0124,0.0222,0.0122,0.0123,0.0233,0.0224,0.0129,0.0235,0.0262,0.0124,0.023,0.0127,0.026,0.0126,0.0124,0.0127,0.0127,0.0226,0.0126,0.0123,0.0125,0.0222,0.0222,0.0121,0.0227,0.0224,0.0119,0.0221,0.0218,0.0123,0.0227,0.0126,0.0124,0.0228,0.0316,0.0222,0.0129,0.0121,0.0136,0.0135,0.0137,0.0485,0.03,0.0132,0.0131,0.0124,0.0221,0.0123,0.0129,0.0261,0.0122,0.0224,0.0129,0.0125,0.0194,0.0227,0.0228,0.0122,0.014,0.023,0.0132,0.0223,0.012,0.0136,0.0232,0.0128,0.0124,0.0181,0.0129,0.0242,0.0127,0.0411,0.0223,0.0223,0.013,0.0298,0.0231,0.0221,0.0126,0.0225,0.0224,0.0125,0.0223,0.0224,0.0224,0.0125,0.0121,0.0226,0.0123,0.0216,0.0674,0.0221,0.0225,0.0125,0.0128,0.0679,0.0168,0.0175,0.0237,0.0127,0.0125,0.0124,0.0122,0.0298,0.0124,0.0227,0.0124,0.0133,0.0131,0.036,0.0366,0.0129,0.0218,0.0224,0.035,0.0122,0.0124,0.0128,0.0128,0.0124,0.012,0.0218,0.0153,0.0127,0.0167,0.0296,0.0134,0.0254,0.0133,0.0267,0.0253,0.0125,0.0229,0.0124,0.0219,0.0227,0.0126,0.0121,0.023,0.0248,0.0235,0.0123,0.0127,0.013,0.0158,0.0125,0.013,0.0127,0.012,0.0125,0.0315,0.0126,0.0127,0.0128,0.0132,0.0131,0.0129,0.0122,0.0121,0.0125,0.0219,0.0221,0.0254,0.013,0.0121,0.0122,0.0122,0.012,0.0217,0.0219,0.0121,0.012,0.0118,0.0122,0.0219,0.0221,0.0352,0.0288,0.0123,0.0127,0.036,0.0128,0.0127,0.0191,0.038,0.0119,0.0226,0.0129,0.0124,0.0271,0.0122,0.0119,0.0128,0.0123,0.0219,0.0126,0.0126,0.0127,0.0128,0.0122,0.0129,0.0123,0.0225,0.0221,0.0223,0.0121,0.0123,0.0121,0.0148,0.0222,0.0121,0.0258,0.023,0.0139,0.013,0.0227,0.0228,0.0124,0.0288,0.0217,0.0265,0.0266,0.029,0.022,0.0128,0.0463,0.0122,0.0147,0.0217,0.0222,0.0124,0.0123,0.0266,0.0224,0.0319,0.012,0.0218,0.0123,0.0221,0.0125,0.0263,0.0125,0.0194,0.0129,0.0272,0.0126,0.0223,0.0126,0.0223,0.0127,0.0129,0.0121,0.0297,0.0127,0.012,0.0222,0.0258,0.0126,0.0125,0.0123,0.013,0.0223,0.0178,0.0173,0.0224,0.0223,0.0132,0.0222,0.0127,0.0128,0.013,0.0186,0.013,0.0312,0.013,0.0125,0.0126,0.0124,0.0134,0.0129,0.0236,0.0229,0.0133,0.0123,0.0129,0.0126,0.0119,0.0221,0.0351,0.0122,0.0224,0.0173,0.0127,0.0223,0.0227,0.0219,0.0129,0.0127,0.0228,0.0127,0.0128,0.0233,0.0121,0.0131,0.0164,0.0231,0.0225,0.0222,0.0126,0.0125,0.0297,0.0124,0.0122,0.0125,0.0122,0.0121,0.022,0.0127,0.0118,0.0147,0.0131,0.0123,0.0122,0.0127,0.0299,0.0221,0.0219,0.0122,0.0387,0.0131,0.0133,0.0123,0.0124,0.012,0.0168,0.0131,0.0272,0.0124,0.0122,0.0125,0.0123,0.0134,0.0125,0.0231,0.022,0.0222,0.0225,0.0128,0.0121,0.0125,0.0119,0.0126,0.0221,0.0223,0.0118,0.0131,0.012,0.0123,0.0197,0.0129,0.0124,0.0227,0.0126,0.0219,0.0167,0.0276,0.013,0.0123,0.013,0.0136,0.0132,0.0124,0.0127,0.0132,0.0131,0.0225,0.0121,0.0358,0.0297,0.0123,0.0217,0.0125,0.0245,0.0129,0.0126,0.0229,0.0259,0.0176,0.0225,0.0141,0.0247,0.0134,0.0232,0.0221,0.0121,0.0131,0.0121,0.0125,0.0124,0.0121,0.0299,0.0226,0.0227,0.0223,0.0221,0.0227,0.0121,0.0201,0.0223,0.0223,0.0353,0.0226,0.0121,0.0216,0.0222,0.0223,0.012,0.0227,0.0139,0.0121,0.0127,0.0223,0.0121,0.0245,0.0378,0.0219,0.0229,0.0222,0.0173,0.0121,0.0227,0.0125,0.0132,0.0223,0.023,0.0125,0.0229,0.0126,0.0258,0.0224,0.0503,0.0219,0.0224,0.0122,0.0222,0.0226,0.0289,0.0177,0.0127,0.0139,0.0126,0.0123,0.0132,0.0169,0.0127,0.0225,0.013,0.0123,0.0226,0.0126,0.0231,0.0322,0.0268,0.0121,0.0222,0.0221,0.0121,
gpu_step vx,0.7788,0.7955,0.7893,0.6638,0.7785,0.8487,0.6993,0.6631,0.7431,0.7813,0.681,0.7274,0.8331,0.622,0.9802,0.6453,0.8949,0.6844,0.7757,0.6625,0.8668,0.878,0.9786,0.6424,0.7856,0.8184,0.5867,0.761,0.6151,0.6947,0.6072,0.89,0.8717,0.8177,0.6653,0.7191,0.8669,0.6993,0.668,0.5458,0.8638,0.8074,0.6851,0.6726,0.7358,0.7973,0.7681,0.8452,0.7285,0.7651,0.8243,0.7099,0.6453,0.7172,0.6709,0.6673,0.8196,0.862,0.8077,0.8084,0.9127,0.7468,0.7847,0.8355,0.6752,0.9936,0.6398,0.7402,0.7072,0.7901,0.6724,0.6846,0.7076,1.013,0.7986,0.754,0.8517,0.6607,0.8563,0.9091,0.8464,0.7667,0.8961,0.8063,0.8441,0.7345,0.7599,0.7031,0.7481,0.769,0.8216,0.8398,0.9056,0.8831,0.8194,0.7438,0.8215,0.909,0.7613,0.8109,0.8187,0.7397,0.8619,0.8826,0.8349,0.7004,0.8703,0.8605,0.8298,0.6877,0.8655,0.6886,0.8149,0.7379,0.7472,0.8476,0.6883,0.8288,0.7139,0.7455,0.8872,0.855,0.8384,0.726,0.7854,0.7485,0.8066,0.7932,0.8507,0.607,0.8483,0.3852,0.8207,0.7724,0.3943,0.4705,0.8013,0.8751,0.9199,0.5513,0.7125,0.7596,0.475,0.9497,0.6431,0.7954,0.9892,0.8097,0.9903,0.7774,0.955,0.7938,0.7159,0.7755,0.6437,0.59,0.3835,0.6902,0.3494,0.7129,0.5207,0.6571,0.6771,0.9598,0.8897,0.6292,0.7942,0.8206,0.8597,0.9114,0.8087,0.8751,0.88,0.7125,0.9374,0.7049,0.6045,0.7905,0.7612,0.6832,0.8563,0.6862,0.7616,0.8047,0.7178,0.8969,0.8921,0.7606,0.8453,0.7271,0.8773,0.8115,0.7724,0.7681,0.7854,0.8158,0.8207,0.824,0.8347,0.8489,0.8415,0.7766,0.6982,0.6687,0.7872,0.832,1.1174,0.971,0.962,0.8089,0.6144,0.8427,0.6678,0.6792,0.8702,0.6337,0.8199,0.8434,0.8126,0.7351,0.77,0.6748,0.8087,0.8069,0.8338,0.8295,1.077,0.438,0.7642,0.7829,0.7436,0.8855,0.6265,0.727,0.7597,0.7454,0.8162,0.7909,0.8013,0.7879,0.8296,0.7358,0.7743,0.8219,0.6752,0.7837,0.6237,0.4435,0.3934,0.5683,0.4094,0.4667,0.4854,0.6485,0.7611,0.828,0.7176,0.7704,0.7218,0.8275,0.7516,0.7486,0.9228,0.8407,0.8588,0.7853,0.9103,0.8414,0.8138,0.7712,0.8097,0.6992,0.8068,0.5382,0.843,0.5695,0.3933,0.4438,0.548,0.3928,0.6854,0.4572,0.5156,0.4928,0.6187,0.5665,0.5802,0.5467,0.4867,0.4961,0.3918,0.4591,0.7681,0.802,0.8125,0.7776,0.6698,0.5518,0.8086,0.9908,0.7359,0.7656,0.925,0.6836,0.6879,0.868,0.7189,0.8457,0.8149,0.7588,0.8202,0.829,0.8796,0.9531,0.8516,0.7933,0.7451,0.7509,0.8966,0.8131,0.8135,0.8137,0.8471,0.9826,0.9103,0.8427,0.7534,0.8022,0.6948,0.6385,0.7159,0.411,0.3394,0.4077,0.6722,0.3165,0.329,0.5139,0.4545,0.8298,0.3401,0.3942,0.5654,0.4884,0.5129,0.7625,0.7707,0.7476,0.7952,0.5989,0.7794,0.4702,0.7467,0.7036,0.7439,0.4856,0.7468,0.9865,0.9124,0.8119,0.8555,0.6961,0.8474,0.9006,0.927,0.7202,0.7577,0.9134,0.8108,0.8794,0.8755,0.8026,0.8783,0.7129,0.8949,0.5761,0.8027,0.7068,0.841,1.0698,0.7761,0.7251,0.8937,0.8099,0.8745,0.8549,0.895,0.6603,0.7681,0.8255,0.7905,0.7912,0.7916,0.8366,0.7412,0.8518,0.6426,0.6654,0.8717,0.6595,0.9035,0.8366,0.8336,0.9375,0.889,0.8893,0.8501,0.9635,0.7547,0.8506,0.7243,0.8168,0.7984,0.7395,0.6025,0.8791,0.7388,0.8451,0.8575,0.9181,0.8642,0.856,0.7612,0.7872,0.9111,0.8487,0.7624,0.7784,0.7738,0.7619,0.7121,0.8951,0.7217,0.7253,0.8199,0.8439,0.8143,0.7917,0.7595,0.6666,0.7392,0.7014,0.7416,0.7233,0.7267,0.7651,0.8294,0.8857,0.7926,0.7505,0.8187,0.8268,0.8388,0.7904,0.8229,0.8951,0.8288,0.7709,0.8614,0.7905,0.8536,0.8731,0.7125,0.9202,0.8202,0.844,0.8544,0.8398,0.8013,0.8285,0.7132,0.952,0.9751,0.7558,0.7685,0.7631,0.7852,0.7369,0.7467,0.8321,0.8175,0.8664,0.7934,0.7892,0.9068,0.8328,0.7054,0.8362,0.7216,0.8479,0.9179,0.8768,0.8416,0.8986,0.7716,0.7091,0.8881,0.721,0.8674,0.7904,0.8254,0.7934,0.884,0.9254,0.7926,0.8138,0.7308,0.8854,0.8186,0.6938,0.8427,0.7514,0.9051,0.8494,0.8982,0.5392,0.8342,0.835,0.7916,0.779,0.8184,0.7999,0.8575,0.7651,0.8147,0.833,0.8502,0.8021,0.8651,0.8093,0.774,0.8472,0.8638,0.7655,0.7973,0.8919,0.8274,0.9463,0.7602,0.9044,0.7623,0.8511,0.8624,0.8471,0.7206,0.8362,0.8775,0.9262,0.774,0.8262,1.0199,0.8598,0.8228,0.8048,0.7501,0.8869,0.6841,0.7465,0.729,0.9625,0.7345,0.7773,0.8029,0.7417,0.8153,0.7904,0.7991,0.747,0.826,0.7326,0.7976,0.8357,0.7206,0.8508,0.6406,0.7801,0.7109,0.7741,0.8341,0.7788,0.8591,0.8887,0.8441,0.864,0.7989,0.8752,0.8291,0.7175,0.7226,0.8213,0.7696,0.9862,0.7774,0.7209,0.6679,0.7966,0.8342,0.7523,0.7822,0.7891,0.8608,0.7887,0.8573,0.7983,0.7093,0.6887,0.8318,0.8323,1.0428,0.7892,0.8434,0.912,0.8668,0.8062,0.8413,0.6264,0.7944,0.9762,0.9174,0.8648,0.8154,0.7567,0.7839,0.7064,0.7896,0.8701,0.9641,0.8729,0.771,0.8609,0.8967,0.8108,0.9269,0.7375,0.7365,0.6561,0.8546,0.7259,0.8042,0.8818,0.8009,0.9137,0.9555,0.797,0.7866,0.767,0.6991,0.8219,0.8574,0.7616,0.665,0.7749,0.8386,0.816,0.8543,0.7616,0.7994,0.8781,0.9078,0.7216,0.8536,0.804,0.8438,0.8295,0.8147,0.8648,0.8553,0.8664,0.7118,0.7497,0.8482,0.806,0.8363,0.74,0.9569,0.7928,0.828,0.6175,0.8484,0.5788,0.8134,0.8577,0.7029,0.8058,0.9715,0.8584,0.7848,0.7606,0.884,0.8673,0.7314,0.756,0.8742,0.8238,0.8225,0.9108,0.786,0.7683,0.7396,0.7932,0.8283,0.8097,0.7292,0.8598,0.6941,0.9635,0.7857,1.004,0.9145,0.8557,0.719,0.7368,0.7565,0.8256,0.7257,0.545,0.7995,0.851,0.8508,0.7804,0.7866,0.9359,0.8258,0.9027,0.8706,0.6314,0.8531,0.8769,0.7667,0.7723,0.6923,0.7047,0.8762,0.9674,0.8446,0.712,0.768,0.7704,0.7964,0.7798,0.9034,0.8011,0.9037,0.8303,0.5813,0.7061,0.8001,0.826,0.4322,0.8134,0.897,0.4407,0.7804,0.667,0.7167,0.827,0.8008,0.8206,0.785,0.7545,0.8022,0.8946,0.7091,0.7502,0.8343,0.7852,0.8028,0.8293,0.4597,0.6308,0.8231,0.793,0.8255,0.7891,0.7189,0.5452,0.7774,0.5516,0.4443,0.5293,0.4192,0.4262,0.4151,0.5093,0.4469,0.4116,0.4496,0.4515,0.5002,0.5263,0.554,0.4684,0.5786,0.4584,0.4932,0.3811,0.5121,0.4672,0.5071,0.552,0.5071,0.3794,0.5035,0.4728,0.5614,0.7309,0.5064,0.8395,0.6408,0.4637,0.5394,0.8321,0.4987,0.7723,0.8311,0.836,0.8778,0.7353,0.5893,0.8765,0.6261,0.7428,0.7735,0.8186,0.7941,0.7653,0.8397,0.5742,0.792,0.89,0.8989,0.8116,0.7412,0.8475,0.4953,0.7502,0.667,0.9078,0.8678,0.6595,0.8353,0.7075,0.8516,0.8477,0.9228,0.7636,0.8174,0.8569,0.7561,0.7145,0.966,0.8083,0.7455,0.7867,0.841,0.8737,0.775,0.7561,0.8274,0.8124,0.8896,0.7977,0.9152,0.7194,0.8145,0.9478,0.8983,0.7941,0.8541,0.781,0.7117,0.8351,0.8262,0.7574,0.8902,0.8698,0.8403,0.7916,0.7816,0.6192,0.7689,0.6325,0.8796,0.8019,0.7311,0.8531,0.6547,0.8247,0.5746,0.8205,0.8042,0.9227,0.8904,0.7798,0.8267,0.9503,0.7883,0.8458,0.8637,0.7324,0.8082,0.8381,0.7748,0.85,0.8738,0.8491,0.7974,0.8339,0.6728,0.7862,0.8214,0.8394,0.9476,0.9147,0.8352,0.7826,0.8101,0.7492,0.8207,0.7306,0.7675,0.8217,0.8175,0.7031,0.6805,0.6709,0.9427,0.8145,0.7986,0.8102,0.8157,0.7456,0.7903,0.9009,0.8804,0.6685,0.8881,0.6308,0.7773,0.7577,0.7452,0.8053,0.8535,0.75,0.7881,0.8718,0.7986,0.6819,0.7797,0.8138,0.8993,0.8608,0.7649,0.8569,0.908,0.5842,0.578,0.868,0.8483,0.905,0.7276,0.8508,0.8814,0.7923,0.885,0.8589,0.974,0.7368,0.8444,0.7462,0.7528,0.784,0.8773,0.8017,0.8405,0.8512,0.8303,0.8587,0.6516,0.6781,0.8719,0.7482,0.7739,0.7796,0.7107,0.7771,0.6955,0.7522,0.7421,0.7267,0.7338,0.7427,0.7812,0.8744,0.7498,0.8042,0.7449,0.8038,0.7264,0.818,0.9443,0.9571,0.7516,0.9113,0.9177,0.7688,0.8233,0.6895,0.8536,0.6983,0.7462,0.7809,0.8203,0.7205,0.8245,0.7486,0.8446,0.8574,0.6092,0.7291,0.6346,0.7442,0.7619,0.7457,1.0508,0.6374,0.8261,0.7117,0.7425,0.8049,0.8488,0.8039,0.8508,0.934,0.7328,0.8979,0.7172,0.7779,0.837,0.7714,0.7532,0.8801,0.7871,0.8904,0.7398,0.8239,0.8107,0.8177,0.8328,0.8094,0.7234,0.8813,0.7367,0.8143,0.8694,0.6729,0.7622,0.8333,0.7963,0.7886,0.7596,0.7682,0.9014,0.6484,0.7355,0.8477,0.8081,0.7894,0.7847,0.6885,0.5807,0.7935,0.7183,0.808,0.6975,0.7304,0.8587,0.874,0.877,0.6128,0.8073,0.806,0.8844,0.8602,0.6496,0.8199,0.801,0.8298,0.6239,0.7734,0.827,0.8394,0.7639,0.8481,0.4136,0.7474,0.6967,0.8418,0.6753,0.8316,0.7065,0.8288,0.8696,0.4204,

cpu_step average:,0.018217
gpu_step vx average:,0.77198
